"Year","Jurisdiction","Total Fines","Driver License","Fines Per 10000 Driver License"
"2015","NSW",486571,5245755,927.5518967241131
"2016","NSW",494676,5337947,926.7158328848151
"2014","NSW",468465,5142396,910.9858517313719
"2012","NSW",432586,4984973,867.7800260904121
"2013","NSW",426904,5060762,843.5567608198132
"2014","SA",100562,1196554,840.430101775599
"2010","NSW",390746,4791490,815.499980173182
"2010","SA",91335,1130920,807.616807554911
"2011","NSW",389649,4893688,796.22771210588
"2015","SA",85282,1206194,707.0338602248064
"2011","TAS",24427,367296,665.0494424115699
"2013","SA",74391,1183292,628.6782974954617
"2011","SA",61859,1138713,543.2360919740092
"2012","SA",54773,1151821,475.5339588356177
"2016","TAS",15977,379305,421.2177535228905
"2015","TAS",15220,370296,411.0225333246916
"2017","TAS",13095,380215,344.4103993792986
"2014","TAS",9250,366231,252.57282971676347
"2018","TAS",8609,387773,222.01133137170456
"2013","TAS",7517,365295,205.7788910332745
"2012","TAS",7410,365359,202.81421834414917
"2019","TAS",6738,398452,169.10443416019996
"2008","NSW",590408,,
"2008","NT",23865,,
"2008","QLD",502886,,
"2008","SA",119500,,
"2008","TAS",59962,,
"2008","VIC",1114036,,
"2008","WA",228822,,
"2009","NSW",513616,,
"2009","NT",19893,,
"2009","QLD",475870,,
"2009","SA",107676,,
"2009","TAS",67768,,
"2009","VIC",1136590,,
"2009","WA",254858,,
"2022","ACT",,334900,
