"Year","Jurisdiction","Camera Issued Fines","Police Issued Fines","Other Fines","Unknown Fines","Total Fines","Camera Percentage","Police Percentage","Other Percentage","Unknown Percentage","Primary Enforcement Method"
"2013","ACT",51948,0,0,0,51948,1,0,0,0,"Camera"
"2013","NSW",426904,0,0,0,426904,1,0,0,0,"Camera"
"2013","NT",24536,0,0,0,24536,1,0,0,0,"Camera"
"2013","QLD",762905,0,0,0,762905,1,0,0,0,"Camera"
"2013","SA",74391,0,0,0,74391,1,0,0,0,"Camera"
"2013","TAS",7517,0,0,0,7517,1,0,0,0,"Camera"
"2013","VIC",1015986,0,0,0,1015986,1,0,0,0,"Camera"
"2013","WA",543491,0,0,0,543491,1,0,0,0,"Camera"
"2014","ACT",45120,0,0,0,45120,1,0,0,0,"Camera"
"2014","NSW",468465,0,0,0,468465,1,0,0,0,"Camera"
"2014","NT",22871,0,0,0,22871,1,0,0,0,"Camera"
"2014","QLD",1004090,0,0,0,1004090,1,0,0,0,"Camera"
"2014","SA",100562,0,0,0,100562,1,0,0,0,"Camera"
"2014","TAS",9250,0,0,0,9250,1,0,0,0,"Camera"
"2014","VIC",1307924,0,0,0,1307924,1,0,0,0,"Camera"
"2014","WA",711518,0,0,0,711518,1,0,0,0,"Camera"
"2015","ACT",50640,0,0,0,50640,1,0,0,0,"Camera"
"2015","NSW",486571,0,0,0,486571,1,0,0,0,"Camera"
"2015","NT",24928,0,0,0,24928,1,0,0,0,"Camera"
"2015","QLD",1076622,0,0,0,1076622,1,0,0,0,"Camera"
"2015","SA",85282,0,0,0,85282,1,0,0,0,"Camera"
"2015","TAS",15220,0,0,0,15220,1,0,0,0,"Camera"
"2015","VIC",1306201,0,0,0,1306201,1,0,0,0,"Camera"
"2015","WA",752276,0,0,0,752276,1,0,0,0,"Camera"
"2016","ACT",55750,0,0,0,55750,1,0,0,0,"Camera"
"2016","NSW",494676,0,0,0,494676,1,0,0,0,"Camera"
"2016","NT",22239,0,0,0,22239,1,0,0,0,"Camera"
"2016","QLD",659305,0,0,0,659305,1,0,0,0,"Camera"
"2016","SA",182856,0,0,0,182856,1,0,0,0,"Camera"
"2016","TAS",15977,0,0,0,15977,1,0,0,0,"Camera"
"2016","VIC",1266642,0,0,0,1266642,1,0,0,0,"Camera"
"2016","WA",567954,0,0,0,567954,1,0,0,0,"Camera"
"2017","ACT",52913,0,0,0,52913,1,0,0,0,"Camera"
"2017","NSW",478004,253949,0,0,731953,0.6530528599513903,0.34694714004860966,0,0,"Camera"
"2017","NT",22556,0,0,0,22556,1,0,0,0,"Camera"
"2017","QLD",733717,0,0,0,733717,1,0,0,0,"Camera"
"2017","SA",162804,0,0,0,162804,1,0,0,0,"Camera"
"2017","TAS",13095,0,0,0,13095,1,0,0,0,"Camera"
"2017","VIC",1220180,0,0,0,1220180,1,0,0,0,"Camera"
"2017","WA",646380,107803,0,0,754183,0.8570598912995917,0.14294010870040827,0,0,"Camera"
"2018","ACT",66449,0,0,0,66449,1,0,0,0,"Camera"
"2018","NSW",444372,237017,0,0,681389,0.6521561105330436,0.3478438894669565,0,0,"Camera"
"2018","NT",27639,9813,0,0,37452,0.7379846203140019,0.2620153796859981,0,0,"Camera"
"2018","QLD",859691,161732,0,0,1021423,0.841660115348881,0.1583398846511191,0,0,"Camera"
"2018","SA",174731,0,0,0,174731,1,0,0,0,"Camera"
"2018","TAS",8609,0,0,0,8609,1,0,0,0,"Camera"
"2018","VIC",1600565,0,0,0,1600565,1,0,0,0,"Camera"
"2018","WA",573664,115534,0,0,689198,0.8323645744764204,0.16763542552357957,0,0,"Camera"
"2019","ACT",59330,0,0,0,59330,1,0,0,0,"Camera"
"2019","NSW",442556,216237,0,0,658793,0.6717679149596307,0.32823208504036927,0,0,"Camera"
"2019","NT",27208,12292,0,0,39500,0.6888101265822785,0.31118987341772153,0,0,"Camera"
"2019","QLD",886731,155049,0,0,1041780,0.8511691527961758,0.14883084720382422,0,0,"Camera"
"2019","SA",202914,0,0,0,202914,1,0,0,0,"Camera"
"2019","TAS",6738,0,0,0,6738,1,0,0,0,"Camera"
"2019","VIC",1004679,0,0,0,1004679,1,0,0,0,"Camera"
"2019","WA",580734,102262,0,0,682996,0.8502743793521484,0.14972562064785153,0,0,"Camera"
"2020","ACT",57612,0,0,0,57612,1,0,0,0,"Camera"
"2020","NSW",707453,207863,0,0,915316,0.7729057505823126,0.22709424941768744,0,0,"Camera"
"2020","NT",33009,7912,0,0,40921,0.8066518413528506,0.19334815864714938,0,0,"Camera"
"2020","QLD",779069,131789,0,0,910858,0.8553133419259643,0.1446866580740357,0,0,"Camera"
"2020","SA",175237,0,0,0,175237,1,0,0,0,"Camera"
"2020","TAS",5430,35321,0,0,40751,0.133248263846286,0.866751736153714,0,0,"Police"
"2020","VIC",937192,0,0,0,937192,1,0,0,0,"Camera"
"2020","WA",595363,100223,0,0,695586,0.8559157314839574,0.14408426851604259,0,0,"Camera"
"2021","ACT",113807,0,0,0,113807,1,0,0,0,"Camera"
"2021","NSW",1273155,179465,0,0,1452620,0.8764542688383749,0.1235457311616252,0,0,"Camera"
"2021","NT",31997,6651,0,0,38648,0.8279083005588905,0.1720916994411095,0,0,"Camera"
"2021","QLD",865513,113413,0,0,978926,0.8841454818852498,0.11585451811475024,0,0,"Camera"
"2021","SA",202693,0,0,0,202693,1,0,0,0,"Camera"
"2021","TAS",4244,34984,0,0,39228,0.1081880289589069,0.8918119710410931,0,0,"Police"
"2021","VIC",1231672,0,0,0,1231672,1,0,0,0,"Camera"
"2021","WA",734701,74843,0,0,809544,0.9075491881849536,0.0924508118150465,0,0,"Camera"
"2022","NSW",1053321,164275,0,0,1217596,0.8650825068413497,0.13491749315865031,0,0,"Camera"
"2022","NT",27390,6252,0,0,33642,0.8141608703406457,0.18583912965935437,0,0,"Camera"
"2022","QLD",777226,72173,0,0,849399,0.9150305098075228,0.08496949019247726,0,0,"Camera"
"2022","SA",157432,28764,0,0,186196,0.8455176265870373,0.1544823734129627,0,0,"Camera"
"2022","TAS",14023,28714,0,0,42737,0.3281231719587243,0.6718768280412757,0,0,"Police"
"2022","VIC",1255302,122929,0,0,1378231,0.9108066789964817,0.08919332100351827,0,0,"Camera"
"2022","WA",775750,67791,0,0,843541,0.9196352044536069,0.08036479554639313,0,0,"Camera"
"2023","ACT",69726,2235,0,0,71961,0.968941509984575,0.031058490015425023,0,0,"Camera"
"2023","NSW",705834,175649,0,0,881483,0.8007346710032979,0.19926532899670216,0,0,"Camera"
"2023","NT",39863,3443,0,0,43306,0.9204960051724934,0.07950399482750659,0,0,"Camera"
"2023","QLD",743514,117112,0,0,860626,0.8639223077155466,0.1360776922844534,0,0,"Camera"
"2023","SA",155362,48236,4,0,203602,0.7630671604404672,0.23691319338709835,0.00001964617243445546,0,"Camera"
"2023","TAS",45406,19634,0,0,65040,0.6981242312423124,0.30187576875768757,0,0,"Camera"
"2023","VIC",1176168,126460,0,0,1302628,0.9029193292329045,0.09708067076709544,0,0,"Camera"
"2023","WA",756557,50930,0,0,807487,0.9369277771654528,0.06307222283454718,0,0,"Camera"
"2024","ACT",66065,2781,0,0,68846,0.9596054963251315,0.04039450367486855,0,0,"Camera"
"2024","NSW",718805,186866,0,1,905672,0.7936703353973624,0.2063285604501409,0,0.0000011041524967096256,"Camera"
"2024","NT",44299,3756,0,0,48055,0.9218395588388305,0.07816044116116949,0,0,"Camera"
"2024","QLD",682685,112198,0,0,794883,0.8588496671837239,0.14115033281627612,0,0,"Camera"
"2024","SA",130226,54354,1,0,184581,0.7055222368499466,0.2944723454743446,0.000005417675708767425,0,"Camera"
"2024","TAS",54911,20082,0,0,74993,0.7322150067339618,0.26778499326603816,0,0,"Camera"
"2024","VIC",665807,107663,0,0,773470,0.8608052025288634,0.13919479747113656,0,0,"Camera"
"2024","WA",416446,56387,0,0,472833,0.8807464792009018,0.1192535207990982,0,0,"Camera"
